pdbid,LigandRmsdMean,LigandRmsdSd,ProteinRmsdMean,ProteinRmsdSd,di1_1-4 EEL_mean,di1_1-4 EEL_sd,di1_1-4 VDW_mean,di1_1-4 VDW_sd,di1_DELTA G gas_mean,di1_DELTA G gas_sd,di1_DELTA G solv_mean,di1_DELTA G solv_sd,di1_DELTA TOTAL_mean,di1_DELTA TOTAL_sd,di1_EDISPER_mean,di1_EDISPER_sd,di1_EEL_mean,di1_EEL_sd,di1_ENPOLAR_mean,di1_ENPOLAR_sd,di1_EPB_mean,di1_EPB_sd,di4_1-4 EEL_mean,di4_1-4 EEL_sd,di4_1-4 VDW_mean,di4_1-4 VDW_sd,di4_DELTA G gas_mean,di4_DELTA G gas_sd,di4_DELTA G solv_mean,di4_DELTA G solv_sd,di4_DELTA TOTAL_mean,di4_DELTA TOTAL_sd,di4_EDISPER_mean,di4_EDISPER_sd,di4_EEL_mean,di4_EEL_sd,di4_ENPOLAR_mean,di4_ENPOLAR_sd,di4_EPB_mean,di4_EPB_sd,index,owner,VDW
2vba,0.283107583,0.007694065,1.217013369,0.003523384,0,2E-05,0,8E-05,-45.74812,3.56834,29.31464,3.91844,-16.4335,3.76338,0,0,-13.3074,3.48334,-3.12052,0.07544,32.43516,3.94142,0,2E-05,0,8E-05,-35.76754,1.93888,4.65912,0.85256,-31.10842,1.9884,0,0,-3.3268,0.87086,-3.12052,0.07544,7.77966,0.88004,3722,DIVYAK,-32.44066
5fp6,0.247297501,0.009121237,3.443170689,0.014635374,0,6E-05,0,6E-05,-56.15726,5.18824,35.8774,4.52038,-20.27984,3.44214,0,0,-25.086,5.51268,-2.89796,0.07646,38.77536,4.51508,0,6E-05,0,6E-05,-37.34278,2.48146,6.22642,1.07718,-31.11636,2.27726,0,0,-6.27148,1.37816,-2.89796,0.07646,9.12436,1.0705,6252,SARVESH,-31.07128
4ez3,1.041414681,0.013770184,3.047141709,0.018258486,0,2E-05,0,6E-05,-72.21628,9.4707,52.08216,8.71142,-20.13414,4.15698,0,0,-41.72102,10.063,-3.38132,0.10408,55.46346,8.74434,0,2E-05,0,6E-05,-40.92554,3.30456,9.80176,1.99064,-31.12374,2.64888,0,0,-10.43026,2.51574,-3.38132,0.10408,13.18308,2.02388,5685,SARVESH,-30.49528
2pd4,0.543928091,0.008937762,2.136167528,0.010725254,0,4E-05,0,6E-05,-43.8748,3.22474,30.86258,2.91572,-13.01218,3.383,0,0,-10.65868,2.90506,-2.9461,0.07974,33.80872,2.93968,0,4E-05,0,6E-05,-35.88076,2.28828,4.7549,0.62928,-31.12586,2.26234,0,0,-2.66464,0.72626,-2.9461,0.07974,7.701,0.6502,7353,ROHIT,-33.2161
4uss,1.136308801,0.007701849,1.771733757,0.007362257,0,2E-05,0,0,-74.3767,8.2679,57.00846,7.93458,-17.36826,3.96254,0,0,-43.24324,9.51442,-3.42662,0.10542,60.43502,7.95686,0,2E-05,0,0,-41.94424,2.47876,10.78096,1.8439,-31.16328,2.42132,0,0,-10.81082,2.37862,-3.42662,0.10542,14.20758,1.86284,7308,ROHIT,-31.13344
1u8g,1.747113445,0.017811984,1.570599759,0.005133751,0,4E-05,0,2E-05,-287.5802,26.292,263.6972,24.73306,-23.88298,6.6994,0,0,-261.31148,26.58782,-4.06486,0.20922,267.7621,24.7955,0,4E-05,0,2E-05,-91.59658,7.2628,60.43072,5.83958,-31.16588,3.73514,0,0,-65.32786,6.64694,-4.06486,0.20922,64.49556,5.90132,6075,ROHIT,-26.26872
6h20,1.10407281,0.006442859,1.374233416,0.006676063,0,6E-05,0,4E-05,-144.15722,11.37802,74.8274,9.89922,-69.32984,6.2229,0,0,-130.79858,12.83862,-1.65532,0.02884,76.48272,9.90896,0,6E-05,0,4E-05,-46.05826,3.36178,14.89036,2.21502,-31.16792,2.82782,0,0,-32.69962,3.20966,-1.65532,0.02884,16.5457,2.2241,4412,ROHIT,-13.35862
1goy,1.025691088,0.009635007,1.648120748,0.019712534,0,8E-05,0,6E-05,-129.4035,8.24698,96.50812,6.85818,-32.89538,4.26348,0,0,-103.81838,9.67302,-3.0256,0.12386,99.53372,6.85604,0,8E-05,0,6E-05,-51.53974,3.4162,20.36178,1.61866,-31.17796,3.19572,0,0,-25.95458,2.41824,-3.0256,0.12386,23.38738,1.61196,7075,PRADEEP,-25.58514
5iid,0.518613469,0.021147525,1.965715168,0.010358622,0,4E-05,0,4E-05,-48.60248,5.36516,27.76682,5.02734,-20.83566,2.7518,0,0,-17.51128,5.82798,-2.8408,0.08792,30.6076,5.0707,0,4E-05,0,4E-05,-35.46902,2.15632,4.25818,1.1401,-31.2108,2.0287,0,0,-4.37782,1.457,-2.8408,0.08792,7.09898,1.18184,5922,ROHIT,-31.09122
2j41,1.083751701,0.008832606,4.425237105,0.035106047,0,2E-05,0,4E-05,-115.1813,8.36738,90.55876,8.3387,-24.62254,5.11368,0,0,-86.83356,9.48794,-3.42426,0.16372,93.98304,8.37076,0,2E-05,0,4E-05,-50.05612,3.8533,18.84246,1.91334,-31.21368,3.5444,0,0,-21.70838,2.372,-3.42426,0.16372,22.26674,1.94576,6150,ROHIT,-28.34772
1wv0,1.613690947,0.021001735,1.689277809,0.006166633,0,6E-05,0,2E-05,-45.07038,7.96222,26.53026,6.51654,-18.5401,3.3643,0,0,-13.48028,8.39688,-3.72766,0.16812,30.25796,6.58114,0,6E-05,0,2E-05,-34.96016,2.92106,3.73908,1.49356,-31.22112,2.48884,0,0,-3.37008,2.09922,-3.72766,0.16812,7.46672,1.55244,1920,DIVYAK,-31.59008
1heg,2.977542244,0.025809501,2.814794045,0.023263475,0,2E-05,0,4E-05,-57.43762,9.2704,36.53222,7.7833,-20.90538,4.27466,0,0,-27.5475,8.20468,-4.25348,0.32374,40.78576,7.92726,0,2E-05,0,4E-05,-36.77698,4.66804,5.5423,1.72136,-31.2347,3.98402,0,0,-6.8869,2.05114,-4.25348,0.32374,9.7958,1.85028,10274,SHUBHAM,-29.8901
4mv1,2.202543838,0.007610975,1.753287472,0.008349366,0,6E-05,0,2E-05,-116.52526,10.1953,98.73626,8.99502,-17.789,5.70356,0,0,-86.69996,10.92586,-3.9288,0.16034,102.66506,9.04962,0,6E-05,0,2E-05,-51.5003,4.0439,20.26146,2.07382,-31.23882,3.40742,0,0,-21.675,2.73148,-3.9288,0.16034,24.19024,2.12542,7534,DIVYAK,-29.82532
4nto,2.395522025,0.04125663,1.447792512,0.008795987,0,4E-05,0,6E-05,-51.27042,8.67826,31.35038,7.94844,-19.92004,4.08112,0,0,-20.90698,8.12624,-4.09546,0.30356,35.44584,8.08572,0,4E-05,0,6E-05,-35.59016,4.17214,4.32274,1.72118,-31.26742,3.53268,0,0,-5.22672,2.03156,-4.09546,0.30356,8.41822,1.84468,2903,VASAVI,-30.3634
4whg,1.213153195,0.023228717,1.905230676,0.009717314,0,0,0,6E-05,-50.9117,9.26128,31.02724,7.90172,-19.88448,3.30834,0,0,-19.88684,8.95032,-3.46914,0.15052,34.49636,7.95098,0,0,0,6E-05,-35.99656,3.8397,4.72778,1.81604,-31.26878,3.138,0,0,-4.97174,2.23756,-3.46914,0.15052,8.1969,1.86144,7779,DIVYAK,-31.02484
4ttq,1.486691302,0.021007692,2.374666837,0.021949219,0,6E-05,0,8E-05,-97.02344,10.91368,78.34346,10.64964,-18.68,4.78996,0,0,-66.97386,11.68286,-3.75838,0.18156,82.10184,10.69608,0,6E-05,0,8E-05,-46.79302,4.22014,15.51526,2.4037,-31.27776,3.75296,0,0,-16.74348,2.9207,-3.75838,0.18156,19.27364,2.44688,7218,SHRUTI,-30.04958
4oso,0.711746114,0.010284741,1.5737902,0.006044649,0,4E-05,0,4E-05,-50.21684,6.38154,37.65006,5.72658,-12.56676,3.60304,0,0,-16.9815,6.27238,-3.69704,0.12306,41.3471,5.7459,0,4E-05,0,4E-05,-37.48068,3.15398,6.20136,1.2999,-31.27934,2.7332,0,0,-4.24536,1.5681,-3.69704,0.12306,9.8984,1.31584,3093,SHRUTI,-33.23532
1pn9,1.886906915,0.015444264,1.652318282,0.009370861,0,8E-05,0,4E-05,-143.64512,15.5922,123.30608,14.38426,-20.33908,5.2322,0,0,-114.61516,15.9986,-4.59732,0.2141,127.9034,14.44386,0,8E-05,0,4E-05,-57.68378,4.97316,26.38604,3.32942,-31.29774,3.36418,0,0,-28.6538,3.99964,-4.59732,0.2141,30.98336,3.38338,6018,PRADEEP,-29.03
4d1x,0.685557133,0.009192709,2.648341726,0.010060426,0,2E-05,0,2E-05,-63.29864,5.6044,45.74714,4.62276,-17.5515,4.5,0,0,-31.56274,6.18134,-3.21114,0.0801,48.95826,4.61906,0,2E-05,0,2E-05,-39.62656,2.88712,8.3215,1.06934,-31.30508,2.73874,0,0,-7.89068,1.54534,-3.21114,0.0801,11.5326,1.06438,1861,SARVESH,-31.73586
4o1e,1.34587204,0.020479947,1.564136232,0.008619139,0,4E-05,0,0,-99.90162,10.86174,82.72984,10.13438,-17.17176,5.2765,0,0,-69.21632,11.18068,-4.14152,0.26388,86.87138,10.26166,0,4E-05,0,0,-47.98936,3.87896,16.66798,2.31758,-31.32142,2.98742,0,0,-17.3041,2.79518,-4.14152,0.26388,20.8095,2.43956,5450,SARVESH,-30.68528
5t4k,2.209605147,0.025256907,1.968209513,0.007767046,0,4E-05,0,4E-05,-74.92626,8.04714,65.42898,8.96172,-9.4973,6.02076,0,0,-41.05074,8.5888,-3.89468,0.13924,69.32364,9.0076,0,4E-05,0,4E-05,-44.1382,3.5771,12.81542,2.05514,-31.32278,3.45014,0,0,-10.2627,2.14722,-3.89468,0.13924,16.7101,2.09926,3131,VASAVI,-33.8755
5d7x,0.296016532,0.004364884,1.885221742,0.010643044,0,0.0001,0,6E-05,-73.18686,7.71434,51.48674,6.69678,-21.70012,3.3433,0,0,-42.76156,8.13836,-3.1356,0.10032,54.62232,6.73012,0,0.0001,0,6E-05,-41.11564,2.84002,9.76302,1.55026,-31.35264,2.43108,0,0,-10.6904,2.0346,-3.1356,0.10032,12.89864,1.58154,1408,SHRUTI,-30.42524
3w0n,0.483678573,0.008779106,1.695037203,0.008894642,0,4E-05,0,2E-05,-105.05868,11.52622,92.04292,11.36304,-13.01578,5.9285,0,0,-73.11362,11.78932,-4.59096,0.16388,96.63388,11.4338,0,4E-05,0,2E-05,-50.22346,4.15388,18.85316,2.58702,-31.3703,3.28628,0,0,-18.27842,2.94732,-4.59096,0.16388,23.44414,2.6587,2696,DIVYAK,-31.94506
1m2q,0.499339039,0.014068876,1.653672829,0.00789368,0,4E-05,0,4E-05,-40.3602,4.33236,22.95338,4.31208,-17.40682,3.20948,0,0,-7.84362,4.71732,-3.05568,0.08926,26.00904,4.31628,0,4E-05,0,4E-05,-34.4775,2.243,3.08944,0.99654,-31.38808,2.2797,0,0,-1.96092,1.17934,-3.05568,0.08926,6.1451,1.00062,4518,PRADEEP,-32.5166
6dew,1.711865341,0.015228988,2.387855905,0.015212777,0,4E-05,0,4E-05,-41.95296,3.52578,20.62074,2.97596,-21.33222,3.71984,0,0,-11.04422,4.21342,-3.34138,0.10812,23.96212,3.0145,0,4E-05,0,4E-05,-33.66978,2.45398,2.2789,0.6725,-31.39086,2.52202,0,0,-2.76106,1.05336,-3.34138,0.10812,5.6203,0.70728,4370,SHRUTI,-30.90872
5ahm,1.292314223,0.010918668,3.467720324,0.016135135,0,0,0,2E-05,-82.49388,9.37418,69.94544,8.77168,-12.54846,5.69476,0,0,-49.67622,10.47508,-3.50768,0.09882,73.45312,8.77844,0,0,0,2E-05,-45.23672,3.8006,13.83982,2.00748,-31.3969,3.5424,0,0,-12.41906,2.61874,-3.50768,0.09882,17.34748,2.0135,7548,DIVYAK,-32.81766
3jq3,1.117155403,0.013601733,1.678500161,0.01048717,0,2E-05,0,6E-05,-111.61738,13.71968,91.2206,11.63408,-20.39676,5.00866,0,0,-81.266,15.27036,-3.62016,0.1372,94.84076,11.6568,0,2E-05,0,6E-05,-50.66788,4.11202,19.26798,2.6606,-31.39994,3.33778,0,0,-20.31648,3.8176,-3.62016,0.1372,22.88812,2.6816,7454,ROHIT,-30.35138
2vb8,0.342913629,0.004928166,1.867483886,0.018837333,0,4E-05,0,6E-05,-51.95006,5.36042,31.3458,4.65912,-20.60424,3.55588,0,0,-20.82784,5.15204,-2.93954,0.0843,34.28538,4.63592,0,4E-05,0,6E-05,-36.32918,2.83952,4.92832,1.05208,-31.40088,2.49772,0,0,-5.20694,1.288,-2.93954,0.0843,7.86788,1.02892,6996,ROHIT,-31.12224
2jaj,1.200618094,0.013436265,1.479926306,0.005133655,0,4E-05,0,4E-05,-97.24204,9.25508,80.82592,8.0973,-16.41608,6.1011,0,0,-65.97426,9.50314,-3.2763,0.08378,84.10224,8.10448,0,4E-05,0,4E-05,-47.76136,3.60202,16.34994,1.86132,-31.4114,3.10134,0,0,-16.49354,2.37576,-3.2763,0.08378,19.62626,1.86746,6124,PRADEEP,-31.26782
1q3w,0.850360233,0.004878293,1.910144688,0.008255664,0,0,0,2E-05,-44.18092,3.9319,26.54954,3.5063,-17.63138,2.91832,0,0,-11.87982,3.9409,-3.29426,0.1037,29.84378,3.49686,0,0,0,2E-05,-35.27102,2.31432,3.85242,0.83888,-31.41862,2.17178,0,0,-2.96996,0.98522,-3.29426,0.1037,7.1467,0.82328,2487,SARVESH,-32.30108
1u1f,1.814354229,0.024224255,1.928183643,0.012020703,0,6E-05,0,4E-05,-67.21618,7.6308,50.08116,7.20274,-17.13502,4.89242,0,0,-35.73684,7.12872,-3.62604,0.2448,53.7072,7.3205,0,6E-05,0,4E-05,-40.41356,3.81368,8.99262,1.5972,-31.42094,3.30518,0,0,-8.9342,1.78216,-3.62604,0.2448,12.61866,1.70336,4777,DIVYAK,-31.47934
5a81,1.076016034,0.02213896,1.659500563,0.008367384,0,6E-05,0,4E-05,-59.18328,6.08648,36.20532,4.66178,-22.97794,4.0322,0,0,-28.89596,5.21118,-3.73604,0.19868,39.94134,4.69996,0,6E-05,0,4E-05,-37.51128,3.52876,6.08752,1.08048,-31.42378,3.20666,0,0,-7.22398,1.3028,-3.73604,0.19868,9.82354,1.10744,4189,SHRUTI,-30.28728
1uzu,0.768556485,0.009885499,1.902742378,0.010245862,0,6E-05,0,4E-05,-51.2289,7.22914,39.77542,6.50114,-11.45346,4.60648,0,0,-17.13266,6.79152,-3.16802,0.18214,42.9434,6.6211,0,6E-05,0,4E-05,-38.3794,3.53088,6.90428,1.4408,-31.4751,3.07968,0,0,-4.28314,1.6979,-3.16802,0.18214,10.0723,1.55616,7533,DIVYAK,-34.09624
5hdj,0.833491731,0.010187332,2.908724728,0.023189196,0,6E-05,0,2E-05,-115.79232,8.57946,86.03912,7.2728,-29.75322,4.03024,0,0,-88.93124,9.6074,-3.62992,0.14616,89.66902,7.30104,0,6E-05,0,2E-05,-49.0939,3.43522,17.57908,1.669,-31.51482,2.9109,0,0,-22.23282,2.40186,-3.62992,0.14616,21.20902,1.6952,3748,DIVYAK,-26.8611
2vct,0.20477205,0.003958566,1.569294593,0.00697926,0,2E-05,0,6E-05,-40.46012,4.8246,18.47772,4.0647,-21.9824,3.33692,0,0,-9.2516,4.8979,-3.3034,0.12314,21.7811,4.0489,0,2E-05,0,6E-05,-33.52142,2.74934,1.99886,0.9478,-31.52252,2.79992,0,0,-2.31288,1.22446,-3.3034,0.12314,5.30224,0.9288,1892,SARVESH,-31.2085
1qhh,1.759134692,0.017499325,2.903178227,0.020640784,0,2E-05,0,2E-05,-130.1165,12.06438,105.6829,10.53804,-24.4336,4.64252,0,0,-102.08086,13.45332,-4.00418,0.15958,109.68708,10.54936,0,2E-05,0,2E-05,-53.55588,4.67428,22.0274,2.4449,-31.52844,4.17692,0,0,-25.5202,3.36332,-4.00418,0.15958,26.03164,2.45062,2767,VASAVI,-28.03564
3fzh,0.270584756,0.005064151,1.775129986,0.010841465,0,4E-05,0,4E-05,-90.1332,6.9492,70.85102,6.76708,-19.28218,4.3175,0,0,-59.45954,7.42886,-3.19574,0.07652,74.04676,6.77418,0,4E-05,0,4E-05,-45.53854,2.92394,13.97788,1.5345,-31.56064,2.51952,0,0,-14.86488,1.8572,-3.19574,0.07652,17.17366,1.54074,4444,ROHIT,-30.67364
3wdm,0.669974133,0.012804548,1.91856593,0.010364539,0,2E-05,0,2E-05,-80.99034,6.27096,54.50592,5.21892,-26.48438,3.92762,0,0,-51.70426,6.6586,-2.92914,0.0956,57.43508,5.24928,0,2E-05,0,2E-05,-42.21214,2.85614,10.6408,1.19936,-31.57132,2.53946,0,0,-12.92606,1.66464,-2.92914,0.0956,13.56998,1.22734,8240,SARVESH,-29.28608
1o5o,0.648566594,0.003818914,2.705493702,0.026663702,0,4E-05,0,4E-05,-118.7747,7.70766,92.97842,6.1544,-25.79628,5.77178,0,0,-90.18776,8.5219,-3.06956,0.08414,96.04804,6.18304,0,4E-05,0,4E-05,-51.1339,3.5859,19.55802,1.39608,-31.5759,3.3174,0,0,-22.54692,2.13048,-3.06956,0.08414,22.6276,1.42366,2437,DIVYAK,-28.58698
1u9e,0.20551328,0.005559124,1.637094759,0.00629825,0,4E-05,0,2E-05,-57.0152,3.11824,32.60788,2.22754,-24.4073,2.32102,0,0,-26.87564,3.42154,-2.93406,0.06974,35.54192,2.23876,0,4E-05,0,2E-05,-36.85846,2.20834,5.2782,0.49656,-31.58026,2.09276,0,0,-6.7189,0.85536,-2.93406,0.06974,8.21226,0.50776,3960,VASAVI,-30.13956
1q4t,3.14199518,0.024497866,1.879551423,0.011837833,0,6E-05,0,6E-05,-95.57278,13.54242,72.79744,11.8219,-22.77538,5.17312,0,0,-66.1786,12.7658,-4.07198,0.32636,76.8694,12.0118,0,6E-05,0,6E-05,-45.93884,5.5125,14.35328,2.62642,-31.58554,4.26188,0,0,-16.54466,3.19146,-4.07198,0.32636,18.42526,2.80642,6904,SARVESH,-29.3942
3tlb,1.737624388,0.021632236,1.343819649,0.003980457,0,6E-05,0,2E-05,-111.29136,11.38512,96.1695,10.64638,-15.12186,5.27592,0,0,-79.70612,12.42452,-3.88012,0.16986,100.04958,10.69436,0,6E-05,0,2E-05,-51.51178,3.48248,19.87804,2.4848,-31.63372,2.75428,0,0,-19.92654,3.10612,-3.88012,0.16986,23.75814,2.53046,2548,ROHIT,-31.58522
1pmv,0.141654971,0.002368223,1.994145361,0.006906267,0,6E-05,0,4E-05,-50.83982,4.01644,26.15656,3.1818,-24.68324,2.68022,0,0,-20.1666,4.08198,-2.76666,0.06694,28.92322,3.17074,0,6E-05,0,4E-05,-35.71488,2.1542,4.07164,0.74698,-31.64324,2.0846,0,0,-5.04162,1.02048,-2.76666,0.06694,6.83828,0.73448,4740,ROHIT,-30.67324
6ai9,0.970890975,0.013530379,2.973277429,0.021192733,0,0.0001,0,8E-05,-82.29442,7.42158,63.66766,6.48026,-18.62676,4.73172,0,0,-51.36698,8.16502,-3.50038,0.0879,67.16802,6.50438,0,0.0001,0,8E-05,-43.76914,2.8288,12.11302,1.4911,-31.65612,2.65216,0,0,-12.84176,2.04126,-3.50038,0.0879,15.61338,1.51508,7880,ROHIT,-30.9274
1lmc,1.589498531,0.012229846,1.182809624,0.006835382,0,4E-05,0,8E-05,-116.34894,15.24146,99.04656,13.18032,-17.3024,5.81876,0,0,-85.72024,15.61642,-4.20252,0.17414,103.24902,13.2497,0,4E-05,0,8E-05,-52.05878,5.1697,20.40262,2.98418,-31.65616,3.8869,0,0,-21.43004,3.9041,-4.20252,0.17414,24.60514,3.05294,3025,ROHIT,-30.62872
1wbe,1.070218765,0.011522141,1.603818485,0.008102548,0,4E-05,0,2E-05,-41.36262,3.16114,22.11776,2.70684,-19.24488,2.87852,0,0,-9.13094,3.37724,-3.05202,0.0758,25.16978,2.70786,0,4E-05,0,2E-05,-34.5144,1.91112,2.8206,0.62962,-31.6938,1.90632,0,0,-2.28272,0.84428,-3.05202,0.0758,5.87264,0.62874,3703,DIVYAK,-32.2317
4zlz,0.323390562,0.011389937,1.686556011,0.008749804,0,4E-05,0,4E-05,-52.94682,4.48348,32.88442,5.55526,-20.06236,4.07026,0,0,-21.33622,4.41306,-3.46846,0.13236,36.35292,5.58402,0,4E-05,0,4E-05,-36.9446,2.56456,5.21212,1.2498,-31.7325,2.27398,0,0,-5.33406,1.10328,-3.46846,0.13236,8.68058,1.27666,3759,DIVYAK,-31.61058
5dqe,0.481592633,0.009458117,2.501347,0.016536673,0,6E-05,0,6E-05,-47.8113,4.23606,25.13892,3.77998,-22.67236,2.91818,0,0,-16.78784,4.60004,-3.10166,0.07534,28.24056,3.77974,0,6E-05,0,6E-05,-35.22042,2.1415,3.48706,0.86924,-31.73336,1.99688,0,0,-4.19694,1.15,-3.10166,0.07534,6.58872,0.86778,6907,SARVESH,-31.02346
6i6p,0.39796185,0.01271079,1.91972376,0.008031991,0,4E-05,0,4E-05,-53.1873,4.96584,35.45038,4.5172,-17.73694,3.02996,0,0,-20.91954,4.66868,-3.2669,0.0804,38.71728,4.52256,0,4E-05,0,4E-05,-37.49762,3.06514,5.76076,1.0245,-31.73684,2.78554,0,0,-5.22988,1.1672,-3.2669,0.0804,9.02766,1.02736,6595,SARVESH,-32.26776
3jpv,0.161556282,0.002464446,1.47369668,0.006586093,0,0,0,4E-05,-57.42676,5.96418,37.20722,5.0361,-20.21954,3.0577,0,0,-25.64246,5.72172,-3.097,0.08542,40.30424,5.05514,0,0,0,4E-05,-38.19488,2.44558,6.43212,1.1574,-31.7628,1.97726,0,0,-6.41062,1.43044,-3.097,0.08542,9.5291,1.17486,7237,SARVESH,-31.78426
5m7s,0.587298867,0.010366312,5.079911373,0.032256436,0,6E-05,0,4E-05,-88.66908,4.35416,58.96472,4.28466,-29.70436,3.7596,0,0,-60.1615,5.3234,-2.8877,0.04538,61.85238,4.28404,0,6E-05,0,4E-05,-43.54794,2.54536,11.78242,0.98328,-31.76552,2.60974,0,0,-15.04038,1.33086,-2.8877,0.04538,14.67012,0.98176,5143,ROHIT,-28.5076
4tqn,0.544287549,0.010978066,1.785551651,0.008183669,0,8E-05,0,4E-05,-67.639,6.82556,45.92242,5.7616,-21.71658,3.17624,0,0,-37.0149,6.46604,-3.64628,0.1472,49.5687,5.84358,0,8E-05,0,4E-05,-39.87778,3.08832,8.08204,1.30368,-31.79576,2.58616,0,0,-9.25374,1.61654,-3.64628,0.1472,11.72828,1.38278,8509,PRADEEP,-30.62404
5x0k,1.298527336,0.00786219,1.808903236,0.009968977,0,8E-05,0,0,-99.52858,9.8678,76.3684,9.03806,-23.1602,3.89286,0,0,-69.54604,11.60166,-3.11438,0.11116,79.48278,9.08476,0,8E-05,0,0,-47.36904,3.4008,15.533,2.06076,-31.83606,3.3488,0,0,-17.3865,2.90042,-3.11438,0.11116,18.6474,2.10632,8826,PRADEEP,-29.98254
5aia,0.462947727,0.003114217,3.08334072,0.040366748,0,4E-05,0,6E-05,-9.0247,8.79034,-14.58266,7.39618,-23.60736,4.74798,0,0,21.02196,9.03078,-2.96886,0.06292,-11.61382,7.39814,0,4E-05,0,6E-05,-24.79116,3.0163,-7.06534,1.55778,-31.85648,2.40694,0,0,5.25548,2.2577,-2.96886,0.06292,-4.09646,1.56034,2864,SARVESH,-30.04666
2pdw,0.272974511,0.004557591,1.241265839,0.003252491,0,2E-05,0,6E-05,-59.2034,3.96484,39.86036,3.06686,-19.34302,3.31784,0,0,-27.28412,4.1129,-2.9597,0.07678,42.82008,3.08816,0,2E-05,0,6E-05,-38.7403,2.25028,6.87832,0.68286,-31.862,2.18724,0,0,-6.82104,1.02822,-2.9597,0.07678,9.83802,0.70238,5382,ROHIT,-31.91924
4bnj,1.489024414,0.008969466,3.011888101,0.007015122,0,4E-05,0,6E-05,-40.66518,3.7383,23.6608,3.8347,-17.00442,2.75764,0,0,-7.58978,3.91586,-2.87876,0.07684,26.53956,3.83242,0,4E-05,0,6E-05,-34.97284,2.05094,3.11036,0.86954,-31.86248,1.92282,0,0,-1.89744,0.97896,-2.87876,0.07684,5.98912,0.86594,4839,PRADEEP,-33.07538
5omh,0.565682875,0.013343432,2.327068915,0.013717799,0,2E-05,0,6E-05,-51.6882,6.0398,33.08308,5.05974,-18.60512,3.62376,0,0,-19.79966,5.94844,-3.80138,0.13592,36.88448,5.09766,0,2E-05,0,6E-05,-36.83844,3.0123,4.9539,1.14712,-31.88454,2.73606,0,0,-4.9499,1.4871,-3.80138,0.13592,8.75532,1.18078,3331,SARVESH,-31.88854
2o64,0.468057097,0.00549792,1.620521783,0.007352757,0,2E-05,0,6E-05,-77.45906,9.6121,51.82722,8.71996,-25.63184,3.95204,0,0,-47.65968,10.63444,-3.34918,0.07486,55.17638,8.72122,0,2E-05,0,6E-05,-41.71428,3.30804,9.82526,2.00746,-31.889,2.70928,0,0,-11.91492,2.65862,-3.34918,0.07486,13.17446,2.00832,4994,PRADEEP,-29.79938
2icx,1.911780486,0.005750357,1.645273031,0.008420643,0,6E-05,0,6E-05,-98.18652,10.5872,81.39356,8.66948,-16.79302,4.79148,0,0,-66.23104,11.71132,-3.46696,0.1441,84.86046,8.71382,0,6E-05,0,6E-05,-48.51326,4.02446,16.60724,1.98672,-31.90602,3.5579,0,0,-16.55776,2.92782,-3.46696,0.1441,20.07418,2.03022,3766,DIVYAK,-31.9555
4mep,0.631735087,0.009727455,1.470755017,0.006414484,0,2E-05,0,8E-05,-55.98736,4.0398,33.31218,3.33364,-22.67516,2.84906,0,0,-25.2709,3.79388,-3.60268,0.13656,36.91488,3.38682,0,2E-05,0,8E-05,-37.03418,2.41206,5.11456,0.74654,-31.91964,2.19166,0,0,-6.31772,0.94848,-3.60268,0.13656,8.71724,0.79498,5304,SHRUTI,-30.71644
6fnt,0.365425972,0.010529663,1.782597802,0.008306347,0,4E-05,0,0,-648.63054,18.86308,630.04158,15.39258,-18.58894,6.46884,0,0,-628.14126,19.05518,-2.99732,0.07694,633.03892,15.38854,0,4E-05,0,0,-177.52458,5.42694,145.6032,3.31478,-31.9214,3.21938,0,0,-157.03532,4.76378,-2.99732,0.07694,148.60052,3.31104,2872,SARVESH,-20.48926
5z4o,0.224457545,0.006600322,2.503572599,0.014936956,0,8E-05,0,2E-05,-47.75208,2.32806,20.32798,2.28654,-27.42408,2.45738,0,0,-17.60104,2.57556,-2.51134,0.05568,22.8393,2.28932,0,8E-05,0,2E-05,-34.55132,2.01294,2.61436,0.5074,-31.93694,2.01498,0,0,-4.40024,0.6439,-2.51134,0.05568,5.12572,0.512,4447,ROHIT,-30.15106
4xh1,1.908859259,0.027442492,4.492948142,0.04115618,0,0,0,2E-05,-96.8885,11.98916,78.87732,10.787,-18.01116,4.97658,0,0,-65.75472,12.19598,-3.7614,0.22938,82.63876,10.9028,0,0,0,2E-05,-47.57248,4.50198,15.63108,2.42824,-31.94138,3.5354,0,0,-16.43868,3.049,-3.7614,0.22938,19.39246,2.54226,5270,SARVESH,-31.1338
5hji,0.395607989,0.007789849,2.35616251,0.018889293,0,8E-05,0,4E-05,-94.81844,5.88844,66.71792,5.32108,-28.10052,3.99824,0,0,-65.5759,6.86106,-3.02624,0.06958,69.74414,5.32494,0,8E-05,0,4E-05,-45.63652,3.1942,13.69182,1.1828,-31.9447,3.04184,0,0,-16.39396,1.71528,-3.02624,0.06958,16.71804,1.187,6485,SHRUTI,-29.24256
3i6a,1.828106321,0.019664115,1.585249326,0.007606962,0,0,0,6E-05,-35.114,4.62572,14.22682,3.2379,-20.88718,4.74864,0,0,0,0,-0.4799,0.2598,14.7067,3.38826,0,0,0,6E-05,-35.114,4.62572,3.16528,0.6879,-31.9487,4.60316,0,0,0,0,-0.4799,0.2598,3.64518,0.81892,2629,SHRUTI2,-35.114
